#MPRN: 10005282085
Date,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
2024-05-22,0,0.24,0.382,0.566,4.124,4.181,4.183,1.929,4.054,1.9695,1.1745,0.311,0.0125,0.0105,0,0.06,0,0,0.086,0.064,0.077,0.0945,0.058,0.0565,0.0355,0.0125,0.0105,0.012,0.014,0.0195,0.0465,0.05,0.053,0.0515,0.061,0.0785,0.047,0.051,0.0295,0.012,0.0445,0.077,0.3135,0.48,0.4695,0.479,0.4785,0.4405
2024-05-23,0.435,0.3715,0.37,0.523,1.948,1.752,1.771,1.7725,1.7905,1.7935,0.911,0.224,0.0145,0.0105,0.001,0.3355,0,0,0.0015,0.0355,0.0505,0.055,0.054,0.057,0.0265,0.02,0.0495,0.0515,0.037,0.024,0,0.0005,0.006,0.0325,0.034,0.0415,0.061,0.07,0.089,0.0445,0.0495,0.046,0.0485,0.055,0.0505,0.0475,0.044,0.2005
2024-05-24,0.1175,0.3665,0.3665,0.529,3.977,4.143,4.593,4.125,4.6035,4.0255,3.122,2.313,0.0415,0.014,0.026,0,0,0.001,0,0.0275,0.0505,0.0525,0.0525,0.052,0.031,0.0135,0.065,0.0505,0.0525,0.0515,0.0525,0.0515,0.05,0.0525,0.017,0.0065,0.01,0.2005,0.1815,0.0085,0.008,0.0265,0.0075,0.008,0.008,0.009,0.053,0.0445
2024-05-25,0.091,0.3855,0.394,0.5965,4.032,4.4685,4.158,4.7405,4.1165,4.124,3.075,2.3325,0.05,0.007,0,0,0,0,0.0015,0.0355,0.052,0.0135,0.0445,0.027,0.0595,0,0,0,0,0.0025,0,0,0,0.0005,0.0015,0,0.009,0.024,0.05,0.054,0.048,0.045,0.0485,0.0465,0.042,0.04,0.0075,0.008
2024-05-26,0,0.068,0.365,0.5295,3.9695,3.9955,3.992,4.0295,4.0235,4.0325,3.185,2.3265,0.041,0.0085,0,0,0,0.063,0.2005,0.1525,0.091,0.136,0.059,0.0535,0.044,0.043,0.032,0.056,0.052,0.058,0.0645,0.064,0.057,0.051,0.0525,0.055,0.016,0.1145,0.015,0.011,0.0095,0.0085,0.0525,0.0515,0.0485,0.051,0.042,0.033
2024-05-27,0,0.1315,0.295,0.4805,3.872,3.935,3.9195,3.944,3.9695,3.9495,2.941,2.2615,0.0495,0.0095,0,0,0,0,0,0.0075,0.0195,0.042,0.0215,0.041,0.04,0,0,0,0,0,0,0,0,0,0,0,0.092,0,0.0145,0.0115,0.0095,0.0085,0.015,0.022,0.01,0.008,0.025,0.0065
2024-05-28,0,0,0.8195,0.561,4.292,3.959,3.9495,3.9275,3.9485,3.9345,3.1455,2.2645,0.043,0.005,0,0,0.0745,0,0,0.01,0.011,0.048,0.0575,0.017,0.0225,0.0135,0.021,0.0235,0.051,0.059,0.0095,0.0215,0.116,0.0365,0.03,0.03,0.0155,0.0305,0.0295,0.0475,0.053,0.0485,0.0455,0.048,0.0475,0.0355,0.0105,0.01
2024-05-29,0,0.1635,0.2865,0.4635,3.8775,3.939,3.9535,3.942,3.963,3.9755,3.146,2.224,0.0375,0.0095,0,0,0,0,0.0215,0.0355,0.056,0.0475,0.0365,0.009,0.01,0.003,0.0125,0.0045,0.0175,0.058,0.0085,0,0.009,0.055,0.01,0.004,0.006,0.0135,0.0435,0.049,0.046,0.049,0.056,0.0475,0.0475,0.044,0.053,0.0155
2024-05-30,0,0,0.2445,0.476,4.0545,4.071,4.0815,4.1155,4.1055,4.1075,3.1155,2.4215,0.0365,0.0125,0.001,0.0195,0,0,0.0345,0.038,0.051,0.053,0.0535,0.0565,0.0555,0.0095,0.016,0.0065,0.016,0.0015,0,0,0,0.0815,0,0.0315,0.0375,0.014,0.024,0.011,0.132,0.0115,0.0115,0.013,0.013,0.02,0.0115,0.0105
2024-05-31,0,0.1195,0.272,0.5165,3.901,3.9485,3.9685,3.965,3.9655,3.969,3.0855,2.1955,0.0335,0.012,0.1015,0,0,0.005,0.0115,0.0005,0.001,0.0155,0.017,0.0305,0.097,0.017,0.0075,0.0175,0.0375,0.0285,0.0205,0.0005,0.009,0,0.0125,0,0,0.0025,0.033,0.049,0.058,0.0465,0.045,0.0455,0.054,0.055,0.025,0.0145
